feature,feature_type,apply_stats,modelling_valid,modelling_valid_previous_season
name,str,0,1,0
position,str,0,1,0
team,str,0,1,0
xP,float,1,1,0
assists,int,1,1,0
bonus,int,0,0,0
bps,int,0,0,0
clean_sheets,int,1,1,1
creativity,float,1,1,1
element,int,0,0,0
expected_assists,float,0,0,0
expected_goal_involvements,float,0,0,0
expected_goals,float,0,0,0
expected_goals_conceded,float,0,0,0
fixture,int,0,1,0
goals_conceded,int,1,1,1
goals_scored,int,1,1,1
ict_index,float,0,0,0
influence,float,1,1,0
kickoff_time,str,0,1,0
minutes,int,0,0,0
opponent_team,int,0,0,0
own_goals,int,0,0,0
penalties_missed,int,0,1,1
penalties_saved,int,0,1,1
red_cards,int,1,1,1
round,int,0,0,0
saves,int,0,1,1
selected,int,0,0,0
starts,int,0,0,0
team_a_score,int,0,0,0
team_h_score,int,0,0,0
threat,int,0,0,0
total_points,int,1,1,1
transfers_balance,int,0,0,0
transfers_in,int,0,0,0
transfers_out,int,0,0,0
value,int,1,1,1
was_home,bool,0,0,0
yellow_cards,int,1,1,1
GW,int,0,1,0
